slevel,grad,Di,MAPKpp,MAPKpp[0],MAPKpp[1],MI,Scyto[0],Scyto[1],Smem[0],Smem[1],Stot,StotNative,StotNone,StotOE,StotOpt,Sves[0],Sves[1],dX,dtzero,gdm,l,maxdose,numiter,p2,p3a,p3b,p3c,p3d,p3e,p4a,p4b,p4n,p5,tp
StotNative,0.615384615385,0.0001,0.447441954818,0.00407020355906,0.00407095327372,1.43327801872,1.43598189464,1.4359796428,0.0378061978306,0.0378123879244,1.5,1.5,0.0,42.0,3.3,0.02620577803,0.0262140987736,0.0001,1.98342020828e-10,5.23076923077e-07,0.6,0.0085,1,0.89,0.00088,0.48,2.1,0.02,1.5,0.001,6.5,50,7.7,0.5
StotNative,0.641025641026,0.0001,0.457124397677,0.00415827359461,0.00415905421406,1.43266628899,1.43310035953,1.43309800615,0.0392573852296,0.0392638084854,1.5,1.5,0.0,42.0,3.3,0.0276358713744,0.0276445692323,0.0001,2.09922134571e-10,5.44871794872e-07,0.6,0.0085,1,0.89,0.00088,0.48,2.1,0.02,1.5,0.001,6.5,50,7.7,0.5
StotNative,0.666666666667,0.0001,0.466692128751,0.00424530081307,0.00424611080327,1.42939447247,1.4302339142,1.43023145139,0.0406997957859,0.0407064501763,1.5,1.5,0.0,42.0,3.3,0.0290596624706,0.0290687259762,0.0001,2.15535324345e-10,5.66666666667e-07,0.6,0.0085,1,0.89,0.00088,0.48,2.1,0.02,1.5,0.001,6.5,50,7.7,0.5
StotNative,0.692307692308,0.0001,0.476136222464,0.00433120379145,0.00433204206447,1.42451624753,1.42738363875,1.42738107169,0.0421335811749,0.0421404652263,1.5,1.5,0.0,42.0,3.3,0.0304759115539,0.0304853316002,0.0001,2.37559181285e-10,5.88461538462e-07,0.6,0.0085,1,0.89,0.00088,0.48,2.1,0.02,1.5,0.001,6.5,50,7.7,0.5
StotNative,0.717948717949,0.0001,0.485449302077,0.00441591539809,0.00441678091036,1.41827640748,1.4245504352,1.4245477737,0.0435588896914,0.0435660018874,1.5,1.5,0.0,42.0,3.3,0.0318835662609,0.0318933332588,0.0001,2.29865383707e-10,6.10256410256e-07,0.6,0.0085,1,0.89,0.00088,0.48,2.1,0.02,1.5,0.001,6.5,50,7.7,0.5
StotNative,0.74358974359,0.0001,0.494625460353,0.00449938198349,0.00450027350893,1.41052706922,1.42173504187,1.42173228255,0.0449758651673,0.0449832039448,1.5,1.5,0.0,42.0,3.3,0.0332817508944,0.0332918555768,0.0001,2.37656329824e-10,6.32051282051e-07,0.6,0.0085,1,0.89,0.00088,0.48,2.1,0.02,1.5,0.001,6.5,50,7.7,0.5
StotNative,0.769230769231,0.0001,0.503659988243,0.00458156071675,0.00458247701044,1.40139035358,1.4189380484,1.4189351928,0.0463846474832,0.0463922111063,1.5,1.5,0.0,42.0,3.3,0.0346697340571,0.0346801661452,0.0001,2.67726772106e-10,6.53846153846e-07,0.6,0.0085,1,0.89,0.00088,0.48,2.1,0.02,1.5,0.001,6.5,50,7.7,0.5
StotNative,0.794871794872,0.0001,0.512549192173,0.00466241788474,0.00466335792384,1.3913292214,1.41615992713,1.4161569797,0.0477853724261,0.0477931594122,1.5,1.5,0.0,42.0,3.3,0.0360469053145,0.0360576560259,0.0001,2.51538280517e-10,6.75641025641e-07,0.6,0.0085,1,0.89,0.00088,0.48,2.1,0.02,1.5,0.001,6.5,50,7.7,0.5
StotNative,0.820512820513,0.0001,0.521290407819,0.00474192934788,0.00474289191166,1.38014659112,1.41340103768,1.41339799313,0.0491781712503,0.0491861799921,1.5,1.5,0.0,42.0,3.3,0.0374127788452,0.037423839106,0.0001,2.59145663609e-10,6.97435897436e-07,0.6,0.0085,1,0.89,0.00088,0.48,2.1,0.02,1.5,0.001,6.5,50,7.7,0.5
StotNative,0.846153846154,0.0001,0.529881718463,0.00482007750832,0.00482106169727,1.3683910534,1.41066164129,1.41065850863,0.0505631712945,0.0505714004109,1.5,1.5,0.0,42.0,3.3,0.0387669584318,0.0387783199401,0.0001,2.70310493988e-10,7.19230769231e-07,0.6,0.0085,1,0.89,0.00088,0.48,2.1,0.02,1.5,0.001,6.5,50,7.7,0.5
StotNative,0.871794871795,0.0001,0.538321893971,0.00489685145944,0.00489785580513,1.35534539904,1.40794193962,1.40793870275,0.0519404963431,0.0519489437224,1.5,1.5,0.0,42.0,3.3,0.040109132605,0.040120784965,0.0001,2.73691967423e-10,7.41025641026e-07,0.6,0.0085,1,0.89,0.00088,0.48,2.1,0.02,1.5,0.001,6.5,50,7.7,0.5
StotNative,0.897435897436,0.0001,0.546610356538,0.00497224551163,0.00497326941175,1.3422556172,1.40524203211,1.40523870534,0.0533102652096,0.0533189299035,1.5,1.5,0.0,42.0,3.3,0.0414390651829,0.0414510022567,0.0001,2.80291101162e-10,7.62820512821e-07,0.6,0.0085,1,0.89,0.00088,0.48,2.1,0.02,1.5,0.001,6.5,50,7.7,0.5
StotNative,0.923076923077,0.0001,0.55474701592,0.00504625890731,0.00504730163274,1.32896377501,1.40256198003,1.40255857216,0.0546725936328,0.0546814746126,1.5,1.5,0.0,42.0,3.3,0.0427565820301,0.0427687975339,0.0001,2.86203414371e-10,7.84615384615e-07,0.6,0.0085,1,0.89,0.00088,0.48,2.1,0.02,1.5,0.001,6.5,50,7.7,0.5
StotNative,0.948717948718,0.0001,0.562732238767,0.00511889506184,0.00511995572388,1.31528836971,1.39990179278,1.39989830659,0.0560275939372,0.0560366895558,1.5,1.5,0.0,42.0,3.3,0.0440615657129,0.0440740514216,0.0001,2.91359217586e-10,8.0641025641e-07,0.6,0.0085,1,0.89,0.00088,0.48,2.1,0.02,1.5,0.001,6.5,50,7.7,0.5
StotNative,0.974358974359,0.0001,0.570566778422,0.0051901609128,0.00519123845461,1.30105667432,1.39726143733,1.39725786618,0.0573753745454,0.0573846832889,1.5,1.5,0.0,42.0,3.3,0.0453539451135,0.0453666935474,0.0001,2.97185910048e-10,8.28205128205e-07,0.6,0.0085,1,0.89,0.00088,0.48,2.1,0.02,1.5,0.001,6.5,50,7.7,0.5
StotNative,1.0,0.0001,0.578251703998,0.00526006621966,0.00526115951783,1.2862331445,1.39464084147,1.39463717536,0.0587160406654,0.0587255608908,1.5,1.5,0.0,42.0,3.3,0.0466336890692,0.0466466925435,0.0001,3.11820402485e-10,8.5e-07,0.6,0.0085,1,0.89,0.00088,0.48,2.1,0.02,1.5,0.001,6.5,50,7.7,0.5
StotOpt,0.0,0.0001,,,,0.0,,,,,3.3,1.5,0.0,42.0,3.3,,,0.0001,,0.0,0.6,0.0085,1,0.89,0.00088,0.48,2.1,0.02,1.5,0.001,6.5,50,7.7,0.5
StotOpt,0.025641025641,0.0001,0.263185808925,0.00239431102133,0.00239432563545,0.670530273454,3.29577366493,3.29577355858,0.00371613122893,0.00371674960079,3.3,1.5,0.0,42.0,3.3,0.000509870505664,0.00051002515888,0.0001,1.09235936616e-11,2.17948717949e-08,0.6,0.0085,1,0.89,0.00088,0.48,2.1,0.02,1.5,0.001,6.5,50,7.7,0.5
StotOpt,0.0512820512821,0.0001,0.272001775088,0.00247449164505,0.00247455054006,1.35112078028,3.29090484537,3.29090459358,0.0074029936617,0.00740422356462,3.3,1.5,0.0,42.0,3.3,0.00169136018124,0.00169198364075,0.0001,2.65373724471e-11,4.35897435897e-08,0.6,0.0085,1,0.89,0.00088,0.48,2.1,0.02,1.5,0.001,6.5,50,7.7,0.5
StotOpt,0.0769230769231,0.0001,0.285144780175,0.00259402125055,0.00259415645708,2.06786452015,3.28548074484,3.28548029585,0.0110587105748,0.0110605448013,3.3,1.5,0.0,42.0,3.3,0.00345913506697,0.00346056886974,0.0001,4.50572154153e-11,6.53846153846e-08,0.6,0.0085,1,0.89,0.00088,0.48,2.1,0.02,1.5,0.001,6.5,50,7.7,0.5
StotOpt,0.102564102564,0.0001,0.301783729069,0.00274534272579,0.00274557881493,2.70808130355,3.2796066372,3.2796059375,0.0146820771955,0.0146845082731,3.3,1.5,0.0,42.0,3.3,0.00570916393265,0.00571167589173,0.0001,6.92636237427e-11,8.71794871795e-08,0.6,0.0085,1,0.89,0.00088,0.48,2.1,0.02,1.5,0.001,6.5,50,7.7,0.5
