Input,lbl,slevel,MAPKpp,MI,p4a,p4b,p4m,p4n
0.7373469387755102,model,StotOE,0.6479078372904149,-1.0712696485356863,0.003,6.5,-47.5,495
0.7575510204081632,model,StotOE,0.645740495435091,-0.9740967976566868,0.003,6.5,-47.5,495
0.7777551020408163,model,StotOE,0.6445134342785201,-0.7782538852487026,0.003,6.5,-47.5,495
0.7979591836734694,model,StotOE,0.6443307700461054,0.5967737510174767,0.003,6.5,-47.5,495
0.8181632653061224,model,StotOE,0.6453122611217049,0.9656566748709688,0.003,6.5,-47.5,495
0.8383673469387755,model,StotOE,0.6475888009716594,1.1149603955537055,0.003,6.5,-47.5,495
0.8585714285714285,model,StotOE,0.6512916497290397,1.2277725381244529,0.003,6.5,-47.5,495
0.8787755102040816,model,StotOE,0.6565326776709335,1.3215933075530073,0.003,6.5,-47.5,495
0.8989795918367347,model,StotOE,0.6633746449775221,1.3976959053498892,0.003,6.5,-47.5,495
0.9191836734693878,model,StotOE,0.6717959255520042,1.454827923402219,0.003,6.5,-47.5,495
0.9393877551020408,model,StotOE,0.681662114274669,1.4890984701294605,0.003,6.5,-47.5,495
0.9595918367346938,model,StotOE,0.6927214174994498,1.4970584350705256,0.003,6.5,-47.5,495
0.9797959183673469,model,StotOE,0.7046331643731899,1.4792770908783286,0.003,6.5,-47.5,495
1.0,model,StotOE,0.7170205991248708,1.4394567877491034,0.003,6.5,-47.5,495
0.01,flat,StotNative,0.25992073524374015,0.11123634251759909,0.0,6.5,-47.5,495
0.030204081632653063,flat,StotNative,0.2622411665049293,0.23054516066942737,0.0,6.5,-47.5,495
0.05040816326530612,flat,StotNative,0.2661377430671667,0.3453667640385045,0.0,6.5,-47.5,495
0.07061224489795918,flat,StotNative,0.2715253936473977,0.4549919098801289,0.0,6.5,-47.5,495
0.09081632653061224,flat,StotNative,0.2783009949654608,0.5570381404389161,0.0,6.5,-47.5,495
0.11102040816326529,flat,StotNative,0.28634777939198974,0.6510459926192322,0.0,6.5,-47.5,495
0.13122448979591836,flat,StotNative,0.29553986727310505,0.7372289669929765,0.0,6.5,-47.5,495
0.15142857142857144,flat,StotNative,0.3057465730515007,0.8141007948698183,0.0,6.5,-47.5,495
0.1716326530612245,flat,StotNative,0.31683634110649694,0.8843550723439894,0.0,6.5,-47.5,495
0.19183673469387755,flat,StotNative,0.32868000326196106,0.9453632060568868,0.0,6.5,-47.5,495
0.2120408163265306,flat,StotNative,0.34115346847333033,0.9980802148747869,0.0,6.5,-47.5,495
0.23224489795918368,flat,StotNative,0.35413967054482487,1.0433834884123896,0.0,6.5,-47.5,495
