Smem,p3
2.42,0.167395711157952
2.43,0.16545268915164527
2.44,0.1635294197746679
2.45,0.16162600567555693
2.46,0.15974253767685953
2.47,0.15787909508963796
2.48,0.15603574602754638
2.49,0.15421254772008244
2.5,0.15240954682463986
2.5100000000000002,0.15062677973700608
2.52,0.14886427289997076
2.5300000000000002,0.14712204310972818
2.54,0.1454000978197773
2.5500000000000003,0.1436984354420402
2.56,0.14201704564494017
2.57,0.14035590964819486
2.58,0.13871500051410132
2.59,0.13709428343510371
2.6,0.13549371601745083
2.61,0.13391324856076955
2.62,0.13235282433338977
2.63,0.1308123798432787
2.64,0.12929184510444894
2.65,0.1277911438987253
2.66,0.12631019403276247
2.67,0.12484890759022449
2.68,0.12340719117904225
2.69,0.12198494617368437
2.7,0.12058206895238008
2.71,0.11919845112925087
2.72,0.11783397978131106
2.73,0.11648853767031267
2.74,0.11516200345941366
2.75,0.11385425192466302
2.7600000000000002,0.11256515416129824
2.77,0.11129457778486401
2.7800000000000002,0.11004238712716297
2.79,0.1088084434270613
2.8000000000000003,0.10759260501617304
2.81,0.10639472749945818
2.82,0.10521466393076943
2.83,0.10405226498339387
2.84,0.10290737911563524
2.85,0.10177985273148936
2.86,0.10066953033647032
2.87,0.09957625468864514
2.88,0.09849986694494305
2.89,0.09744020680280334
2.9,0.09639711263723327
2.91,0.09537042163334603
2.92,0.09435996991445438
2.93,0.09336559266579487
2.94,0.09238712425396169
2.95,0.09142439834212776
2.96,0.09047724800113612
2.97,0.08954550581654074
2.98,0.08862900399168203
2.99,0.08772757444687784
