Smem,Bell,Constant,Rising,Falling
0.78,0.308844282651832,0.3,0.37528,0.4649040246382221
0.79,0.3116290185442417,0.3,0.38008,0.464213611974813
0.8,0.31436853620125876,0.3,0.38488,0.46351070686864626
0.81,0.31706219505211586,0.3,0.38968,0.46279512639554654
0.8200000000000001,0.3197093579485588,0.3,0.39448,0.4620666866652778
0.8300000000000001,0.3223093917143852,0.3,0.39928,0.4613252028919654
0.84,0.32486166770778196,0.3,0.40407999999999994,0.46057048946811313
0.85,0.3273655623960417,0.3,0.40887999999999997,0.45980236004229574
0.86,0.3298204579421891,0.3,0.41368,0.4590206276006053
0.87,0.33222574280300693,0.3,0.41847999999999996,0.45822510455192883
0.88,0.33458081233790676,0.3,0.42328,0.4574156028171326
0.89,0.3368850694280409,0.3,0.42807999999999996,0.45659193392222513
0.9,0.33913792510501056,0.3,0.43288,0.4557539090955693
0.91,0.34133879918847565,0.3,0.43768,0.45490133936921107
0.92,0.3434871209319265,0.3,0.44248,0.4540340356843888
0.93,0.34558232967583374,0.3,0.44728,0.453151809001282
0.9400000000000001,0.34762387550734297,0.3,0.45208,0.45225447041305855
0.9500000000000001,0.34961121992563915,0.3,0.45688,0.4513418312642707
0.96,0.3515438365120591,0.3,0.46168,0.4504137032736471
0.97,0.35342121160398526,0.3,0.46647999999999995,0.4494698986613257
0.98,0.35524284497151526,0.3,0.47128,0.448510230280562
0.99,0.357008250495854,0.3,0.47607999999999995,0.44753451175394543
1.0,0.35871695684833993,0.3,0.48088,0.4465425576141497
1.01,0.3603685081689755,0.3,0.48568,0.4455341834492331
1.02,0.36196246474329463,0.3,0.49047999999999997,0.4445092060525038
1.03,0.36349840367636743,0.3,0.49528,0.44346744357695117
1.04,0.3649759195627065,0.3,0.50008,0.4424087156942406
1.05,0.3663946251508115,0.3,0.50488,0.4413328437582603
1.06,0.367754152001059,0.3,0.50968,0.44023965097319817
1.07,0.3690541511356219,0.3,0.51448,0.4391289625661173
1.08,0.3702942936790788,0.3,0.51928,0.4380006059639942
1.09,0.37147427148835654,0.3,0.52408,0.43685441097516536
1.1,0.3725937977706343,0.3,0.52888,0.43569020997512353
1.11,0.3736526076878249,0.3,0.53368,0.43450783809659305
1.12,0.3746504589462438,0.3,0.5384800000000001,0.43330713342379856
1.1300000000000001,0.37558713237006963,0.3,0.54328,0.432087937190835
1.1400000000000001,0.37646243245720323,0.3,0.54808,0.43085009398402907
1.1500000000000001,0.37727618791613576,0.3,0.55288,0.42959345194817367
1.16,0.37802825218244634,0.3,0.55768,0.428317862996502
1.17,0.3787185039135623,0.3,0.56248,0.42702318302425357
1.18,0.37934684746043457,0.3,0.5672799999999999,0.4257092721256733
1.19,0.3799132133148032,0.3,0.5720799999999999,0.42437599481426747
1.2,0.3804175585307553,0.3,0.57688,0.4230232202461282
1.21,0.38085986711931236,0.3,0.58168,0.4216508224461222
1.22,0.3812401504148149,0.3,0.58648,0.42025868053672444
1.23,0.3815584474119249,0.3,0.5912799999999999,0.4188466789692628
1.24,0.38181482507210096,0.3,0.5960799999999999,0.41741470775732387
1.25,0.38200937859846124,0.3,0.60088,0.4159626627120536
1.26,0.38214223167800215,0.3,0.60568,0.41449044567907345
1.27,0.3822135366901986,0.3,0.61048,0.4129979647767131
1.28,0.38222347488108144,0.3,0.6152799999999999,0.4114851346352484
1.29,0.3821722565019509,0.3,0.62008,0.40995187663681554
1.3,0.38206012091196073,0.3,0.62488,0.40839811915565727
1.31,0.3818873366438849,0.3,0.62968,0.406823797798342
1.32,0.3816542014324554,0.3,0.63448,0.4052288556435799
1.33,0.38136104220474604,0.3,0.63928,0.4036132434812478
1.34,0.3810082150321633,0.3,0.64408,0.4019769200502153
1.35,0.38059610504369107,0.3,0.64888,0.400319852274557
1.36,0.3801251263001329,0.3,0.65368,0.39864201549771455
1.37,0.3795957216291848,0.3,0.6584800000000001,0.3969433937141643
1.3800000000000001,0.3790083624212684,0.3,0.66328,0.3952239797981321
1.3900000000000001,0.37836354838615227,0.3,0.66808,0.39348377572888343
1.4000000000000001,0.37766180727048454,0.3,0.67288,0.3917227928121079
1.41,0.3769036945364614,0.3,0.67768,0.38994105189690603
1.42,0.3760897930019521,0.3,0.68248,0.38813858358787573
1.43,0.3752207124425015,0.3,0.6872799999999999,0.3863154284517905
1.44,0.37429708915572985,0.3,0.6920799999999999,0.3844716372183496
1.45,0.37331958548874317,0.3,0.6968799999999999,0.3826072709744782
1.46,0.37228888932926846,0.3,0.70168,0.38072240135164953
1.47,0.3712057135613193,0.3,0.70648,0.3788171107056951
1.48,0.3700707954862891,0.3,0.7112799999999999,0.3768914922885708
1.49,0.36888489621045933,0.3,0.7160799999999999,0.3749456504115422
1.5,0.3676488,0.3,0.72088,0.3729797005992555
1.51,0.36636331360461655,0.3,0.72568,0.37099376973416187
1.52,0.3650292655510848,0.3,0.73048,0.36898799619076683
1.53,0.3636475054079848,0.3,0.7352799999999999,0.3669625299591821
1.54,0.3622189030230233,0.3,0.74008,0.3649175327574653
1.55,0.36074434773439473,0.3,0.74488,0.36285317813224083
1.56,0.3592247475576991,0.3,0.74968,0.360769651547107
1.57,0.3576610283499904,0.3,0.75448,0.3586671504583481
1.58,0.3560541329525815,0.3,0.75928,0.3565458843774831
1.59,0.35440502031427895,0.3,0.76408,0.3544060749201997
1.6,0.35271466459676293,0.3,0.76888,0.352247955841244
1.61,0.35098405426386314,0.3,0.77368,0.35007177305485015
1.62,0.34921419115651153,0.3,0.7784800000000001,0.34787778464032443
1.6300000000000001,0.3474060895551757,0.3,0.78328,0.34566626083241575
1.6400000000000001,0.34556077523159834,0.3,0.78808,0.3434374839961349
1.6500000000000001,0.3436792844916752,0.3,0.79288,0.34119174858571094
1.6600000000000001,0.3417626632113153,0.3,0.7976800000000001,0.3389293610874034
1.67,0.33981196586712453,0.3,0.80248,0.33665063994592015
1.68,0.33782825456374893,0.3,0.8072799999999999,0.33435591547422316
1.69,0.33581259805970326,0.3,0.8120799999999999,0.3320455297465418
1.7,0.3337660707934923,0.3,0.8168799999999999,0.32971983647444475
1.71,0.33168975191181294,0.3,0.82168,0.3273792008658647
1.72,0.3295847243015924,0.3,0.82648,0.3250239994670022
1.73,0.32745207362759093,0.3,0.8312799999999999,0.32265461998708306
1.74,0.32529288737725537,0.3,0.8360799999999999,0.32027146110597654
1.75,0.32310825391446857,0.3,0.84088,0.31787493226472946
1.76,0.32089926154379556,0.3,0.84568,0.31546545343911153
1.77,0.3186669975867712,0.3,0.85048,0.3130434548963099
1.78,0.31641254747172465,0.3,0.8552799999999999,0.31060937693495766
1.79,0.3141369938385742,0.3,0.86008,0.3081636696087206
1.8,0.31184141565996437,0.3,0.86488,0.30570679243371585
1.81,0.3095268873800552,0.3,0.86968,0.3032392140800763
1.82,0.3071944780722027,0.3,0.87448,0.3007614120480199
1.83,0.3048452506167026,0.3,0.87928,0.2982738723288278
1.84,0.30248026089969665,0.3,0.88408,0.29577708905117633
1.85,0.30010055703426647,0.3,0.88888,0.29327156411331146
1.86,0.2977071786046684,0.3,0.89368,0.29075780680159474
1.87,0.29530115593458217,0.3,0.8984800000000001,0.28823633339599136
1.8800000000000001,0.29288350938017543,0.3,0.90328,0.2857076667631079
1.8900000000000001,0.29045524864870326,0.3,0.90808,0.28317233593742686
1.9000000000000001,0.2880173721432903,0.3,0.91288,0.28063087569141937
1.9100000000000001,0.2855708663344622,0.3,0.91768,0.27808382609525245
1.92,0.28311670515891885,0.3,0.92248,0.2755317320668387
1.93,0.2806558494459659,0.3,0.9272799999999999,0.272975142913006
